,z,dl_CC,erro_CC
0,0.078,364.6561923984319,0.0014626436265530174
1,0.088,414.2182698378687,0.00335993565482795
2,0.103,489.7028101376951,0.0021942698397765525
3,0.103,489.7028101376951,0.0021942698397765525
4,0.152,745.501611104149,0.03304232072400737
5,0.208,1054.056308489477,0.04950398090215913
6,0.214,1088.0868622689209,0.0012073826900405038
7,0.215,1093.7792071523068,0.0013334290777038404
8,0.235,1208.6008937099034,0.014392432778322473
9,0.235,1208.6008937099034,0.014392432778322473
10,0.236,1214.3958410679159,0.012484896354976627
11,0.252,1307.739044936299,0.004896930519180387
12,0.253,1313.6103231659492,0.00022891336175234756
13,0.313,1674.4264235144522,0.035305271146853556
14,0.314,1680.571821106882,0.06774483801539483
15,0.318,1705.2110512415588,0.02992847827249534
16,0.324,1742.283112615588,0.01520446603626624
17,0.345,1873.226649095849,0.0025612099911995756
18,0.352,1917.275696284861,0.014830975203494745
19,0.355,1936.217556097632,0.06641778382410149
20,0.363,1986.893143320484,0.016989200559919482
21,0.363,1986.893143320484,0.016989200559919482
22,0.3779999999999999,2082.5869807974773,0.07235710773816324
23,0.391,2166.215582244469,0.0031149052640557784
24,0.3989999999999999,2217.9929759304855,0.20548825639098456
25,0.4039999999999999,2250.4728588117337,0.1847767587081432
26,0.423,2374.729028980568,0.1075488235261201
27,0.442,2500.2538637377106,0.009723365322543032
28,0.447,2533.5032338856017,0.18326095507840473
29,0.451,2560.157717507138,0.49693231808943633
30,0.46,2620.322236986449,0.15587154910641937
31,0.461,2627.0203408597076,0.13933595521754322
32,0.487,2802.4291381598086,0.13437107896346867
33,0.539,3159.5778127422163,0.5253702798414925
34,0.5760000000000001,3418.5820143331907,0.20892431093915112
35,0.596,3560.144604750651,0.5309506295474361
36,0.7020000000000001,4327.5854912193045,0.5334054958590837
37,0.723,4482.8055233398445,0.5998045565559451
38,1.028,6837.344793679039,0.6863216726510141
39,1.063,7118.2897509405675,0.5940051692103875
